creditos,nombre,teoria,laboratorio,semestre
0,SEMINARIO DE ORIENTACION ING. AMBIENTAL,0,1,1
9,BIODIVERSIDAD Y EVOLUCION,4,1,1
9,PROBLEMATICA AMBIENTAL,4,1,1
8,ALGEBRA A,3,2,1
8,QUIMICA A,3,2,1
8,CALCULO A,3,2,1
0,GEOMETRIA Y TRIGONOMETRIA,3,2,1
4,METODOLOGIA DE LA INVESTIGACION,0,4,1
9,ECOLOGIA GENERAL,4,1,2
8,ALGEBRA B,3,2,2
6,QUIMICA ORGANICA AMBIENTAL,3,0,2
8,CALCULO B,3,2,2
8,FISICA A,3,2,2
5,TECNICAS DE COMUNICACION ORAL Y ESCRITA,0,5,2
0,INGLES 1,4,2,2
10,GEOLOGIA BASICA I,5,0,3
7,METEOROLOGIA / CLIMATOLOGIA,3,1,3
4,DESARROLLO SOSTENIBLE,2,0,3
5,COMPUTACION APLICADA A LA INGENIERIA AMBIENTAL I,1,3,3
6,FISICA C,2,2,3
8,TERMODINAMICA I,4,0,3
8,CALCULO D,3,2,3
0,INGLES 2,4,2,3
8,PROBABILIDAD Y ESTADISTICA,3,2,4
7,EDAFOLOGIA AMBIENTAL,3,1,4
7,COMPUTACION APLICADA A LA INGENIERIA AMBIENTAL II,2,3,4
6,QUIMICA DE SOLUCIONES,3,0,4
8,TERMODINAMICA II,4,0,4
10,BALANCES DE MATERIA Y ENERGIA,5,0,4
2,TENDENCIAS SOCIALES,0,2,4
0,INGLES 3,4,2,4
8,INFERENCIA ESTADISTICA,3,2,5
8,ADMINISTRACION Y COACHING EMPRESARIAL,4,0,5
6,GESTION AMBIENTAL,3,0,5
8,HIDRAULICA AMBIENTAL,3,2,5
6,QUIMICA AMBIENTAL,3,0,5
6,QUIMICA ANALITICA,3,0,5
6,FENOMENOS DE TRANSPORTE,3,0,5
2,GESTION Y DESARROLLO SOCIAL,0,2,5
0,INGLES 4,4,2,5
8,INGENIERIA ECONOMICA,4,0,6
7,INSTRUMENTACION Y CONTROL DE PROCESOS,3,1,6
6,HIDROLOGIA,3,0,6
9,MANEJO DE RECURSOS NATURALES,4,1,6
4,LABORATORIO DE CIENCIAS AMBIENTALES I,0,4,6
7,MICROBIOLOGIA AMBIENTAL,3,1,6
6,CINETICA EN INGENIERIA AMBIENTAL,3,0,6
3,LIDERAZGO Y EMPRENDIMIENTO,0,3,6
0,INGLES 5,4,2,6
7,FORMULACION Y GESTION DE PROYECTOS,2,3,7
10,SEGURIDAD E HIGIENE EN LA INDUSTRIA,4,2,7
5,AREAS NATURALES PROTEGIDAS Y PLANES DE MANEJO,2,1,7
4,LABORATORIO DE CIENCIAS AMBIENTALES II,0,4,7
7,PREVENCION Y CONTROL DE LA CONTAMINACION DEL AIRE,3,1,7
6,BIOTECNOLOGIA AMBIENTAL,3,0,7
2,"ARTE, CULTURA Y HUMANIDADES I",0,2,7
0,VALIDACION DE LA LENGUA EXTRANJERA,0,0,7
8,ECONOMIA AMBIENTAL,4,0,8
7,EVALUACION DE IMPACTO AMBIENTAL,3,1,8
5,EVALUACION DE RIESGO AMBIENTAL,2,1,8
2,"ARTE, CULTURA Y HUMANIDADES II",0,2,8
7,PREVENCION Y CONTROL DE LA CONTAMINACION DEL AGUA,3,1,9
7,GESTION Y CONTROL DE LOS RESIDUOS,3,1,9
15,DESARROLLO DE PROYECTOS,0,15,9
2,"ACTIVIDADES ARTISTICAS, DEPORTIVAS O DE DIVULGACION",0,2,9
